codigoItem;descricaoItem
58;CONTRASTE IODADO NAO IONICO 300MGML FRASCO-AMPOLA 100ML - S
61;DAPTOMICINA 500MG PO LIOFILIZADO INJETAVEL
64;DEXAMETASONA 4MGML 25ML
65;DEXTROCETAMINA 50MGML 10ML
67;DIPIRONA 500MGML 2ML
68;DOPAMINA 5MGML AMPOLA 10ML - SOLUCAO INJETAVEL
70;ENOXAPARINA SODICA 20MG02ML SERINGA PREENCHIDA - SOLUCAO IN
71;ENOXAPARINA 40 MG / 0,4 ML SOLUCAO INJETAVEL
73;EPINEFRINA 1MGML AMPOLA 1ML - SOLUCAO INJETAVEL
75;ETOMIDATO 2 MG/ ML AMPOLA 10 ML - SOLU��O INJET�VEL (PORT. 344/98 - C1)
79;FENTANILA 50 MCG/ML AMPOLA 2ML  (PORT. 344/98 - A1)
80;FENTANILA 50 MCG/ML FRASCO AMPOLA 10ML  (PORT. 344/98 - A1)
82;FITOMENADIONA 10 MG/ ML AMPOLA 1 ML - SOLUCAO INJETAVEL (INTRAMUSCULAR)
84;FONDAPARINUX SODICO 25MG05ML
85;FUROSEMIDA 10MGML 2ML
86;GANCICLOVIR 1MGML 250ML
87;GLICOSE 50% AMPOLA 10ML - SOLUCAO INJETAVEL
89;HALOPERIDOL 5 MG/ML AMPOLA 1ML  (PORT. 344/98 - C1)
90;HEPARINA SODICA ENDOVENOSA 5000 UIML FRASCO-AMPOLA 5ML - SO
91;HEPARINA SODICA SUBCUTANEA 5000 UI025ML AMPOLA 025ML - SOLU
94;HIDROCORTISONA 500MG
95;HIDROXIUREIA 500MG
98;IMUNOGLOBULINA ANTIMOCITOS HUMANOS (COELHO) 25 MG FRASCO AMPOLA 5 ML - PO LIOFILIZADO PARA SOLUCAO INJETAVEL
99;IPRATROPIO 025MGML GOTAS 20ML
102;LIDOCAINA 20MG GELEIA 30G
106;LOSARTANA POTASSICA 50MG COMP
107;MEROPENEM 1G FRASCO-AMPOLA - PO LIOFILIZADO
111;MICAFUNGINA 50MG FRASCO-AMPOLA - PO LIOFILIZADO
112;MIDAZOLAM 5MG/ML 10ML (PORTARIA 344/98 LISTA B1)
112;MIDAZOLAM 5MGML 10ML
113;MIDAZOLAM 5MGML 3ML
114;MILRINONA 1 MG/ ML AMPOLA 10 ML - SOLUCAO INJETAVEL
116;MORFINA 10MGML 1ML
118;MOXIFLOXACINO 400MG250ML BOLSA - SOLUCAO INJETAVEL
119;NALOXONA 0,4 MG/ML AMPOLA 1ML  (PORT. 344/98 - C1)
121;NILOTINIB 200MG
124;NOREPINEFRINA (HEMITARTARATO) 2MGML AMPOLA 4ML - SOLUCAO IN
125;OCTREOTIDA 01MGML 1ML
127;OMEPRAZOL 40MG FRASCO-AMPOLA - PO LIOFILIZADO
129;OXACILINA 500MG FRASCO-AMPOLA - PO LIOFILIZADO
131;PAMIDRONATO DISSODICO 90MG P� LIOFILIZADO PARA SOLU��O INJET�VEL FRASCO AMPOLA 10ML
132;PANCURONIO 2MGML 2ML
134;PARACETAMOL + CODEINA 500 MG + 30 MG COM (PORT. 344/98 - C1)
135;PIPERACILINA 4G TAZOBACTAM 500MG FA
138;PROPOFOL 10MG/ML FRASCO AMPOLA 20ML (PORT. 344/98 - C1)
140;RITUXIMABE 100 MG
141;RITUXIMABE 500 MG
142;ROCURONIO 10 MG/ ML AMPOLA 5 ML - SOLUCAO INJETAVEL
146;SOLU��O DE GLICERINA 12% TUBO 500 ML - USO RETAL
147;SOLUCAO DE GLICOSE 10% FRASCO 500ML - SISTEMA FECHADO
148;SOLUCAO DE GLICOSE 5% FRASCO 100ML - SISTEMA FECHADO
149;SOLUCAO DE GLICOSE 5% FRASCO 250ML - SISTEMA FECHADO
150;SOLUCAO DE GLICOSE 5% FRASCO 500ML - SISTEMA FECHADO
151;SOLUCAO DE GLICOSE 50% FRASCO 500ML - SISTEMA FECHADO
152;MANITOL 20% FRASCO 250 ML - SOLUCAO INJETAVEL
153;SOLUCAO DE RINGER LACTATO FRASCO 500 ML - SISTEMA FECHADO
153;SOLUCAO DE RINGER LACTATO FRASCO 500ML - SISTEMA FECHADO
154;SOLUCAO FISIOLOGICA 09% AMPOLA 10ML - SOLUCAO INJETAVEL
155;CLORETO DE SODIO 0,9% FRASCO 1000 ML - SOLUCAO INJETAVEL
156;CLORETO DE SODIO 0,9% FRASCO 100 ML - SOLUCAO INJETAVEL
157;SOLUCAO FISIOLOGICA 09% FRASCO 250ML - SISTEMA FECHADO
158;CLORETO DE SODIO 0,9% FRASCO 500 ML - SOLUCAO INJETAVEL
161;SOLUCAO GLICOFISIOLOGICA 1:1 FRASCO 500ML - SISTEMA FECHADO
163;SULFAMETOXAZOL +TRIMETOPRIMA 400MG+80MG, AMPOLA 5ML
165;SULFATO DE MAGNESIO 50% 10ML
166;SURFACTANTE PULMONAR 80 MG/ ML FRASCO AMPOLA 3 ML - SUSPENS�O EST�RIL
167;SUXAMETONIO 100 MG - PO LIOFILIZADO PARA SOLUCAO INJETAVEL
168;TIGECICLINA 50 MG - PO LIOFILIZADO PARA SOLUCAO INJETAVEL
170;VANCOMICINA 500 MG - PO LIOFILIZADO PARA SOLUCAO INJETAVEL
172;VORICONAZOL 200 MG - P� LIOFILIZADO PARA SOLU��O INJET�VEL
173;LAMINA PARA TRICOTOMIZADOR CIRURGICO
180;LUVA PARA PROCEDIMENTO COM P� M (UNIDADE)
181;LUVA PARA PROCEDIMENTO COM P� P (UNIDADE)
182;LUVA PARA PROCEDIMENTO COM P� G (UNIDADE)
188;ELETRODO DESCARTAVEL PARA MONITORIZA��O CARDIACA ADULTO
197;TUBO ENDOTRAQUEAL S/ BALAO 3,0
199;TUBO ENDOTRAQUEAL S/ BALAO 5,5
205;MASCARA DE VENTURI ADULTA
211;EMBALAGEM PARA ACONDICIONAMENTO DE PRODUTOS A SEREM ESTERILIZADOS EM PAPEL GRAU CIRURGICO 100MM X 100M
212;EMBALAGEM PARA ACONDICIONAMENTO DE PRODUTOS A SEREM ESTERILIZADOS EM PAPEL GRAU CIRURGICO 150MM X 100M
213;EMBALAGEM PARA ACONDICIONAMENTO DE PRODUTOS A SEREM ESTERILIZADOS EM PAPEL GRAU CIRURGICO 200MM X 100M
214;EMBALAGEM PARA ACONDICIONAMENTO DE PRODUTOS A SEREM ESTERILIZADOS EM PAPEL GRAU CIRURGICO 300MM X 100M
215;CATETER NASAL TIPO OCULOS ADULTO
218;CONTRASTE IODADO NAO-IONICO 300 MG/ ML FRASCO 50 ML - SOLUCAO INJETAVEL
232;AGULHA DESCARTAVEL 13X4,5
233;AGULHA DESCARTAVEL 30X07
234;AGULHA DESCARTAVEL 40X12
235;CATETER INTRAVENOSO PERIFERICO 16G
236;AVENTAL DESCARTAVEL COM MANGA LONGA E ELASTICO NO PUNHO
237;CATETER INTRAVENOSO PERIFERICO 18G
238;CATETER INTRAVENOSO PERIFERICO 20G
239;CATETER INTRAVENOSO PERIFERICO 22G
240;CATETER INTRAVENOSO PERIFERICO 24G
246;SERINGA DESCARTAVEL S/AGULHA BICO LUER SLIP 20ML
247;SERINGA DESCARTAVEL S/AGULHA BICO LUER SLIP 10ML
248;SERINGA DESCARTAVEL S/AGULHA BICO LUER LOCK 03ML
254;SERINGA DESCARTAVEL S/AGULHA BICO LUER LOCK 05ML
257;MASCARA RESPIRATORIA PARA PARTICULADOS (N95-PFF2 OU EQUIVALENTES) - MEDICA
258;AGULHA DESCARTAVEL 25X12- PONTA ROMBA
259;LENCOL DESCARTAVEL 2,50 X 1,60 M
265;DIAZEPAM 5 MG/ ML AMPOLA 2 ML (PORT. 344/98 - B1)
270;KIT DE SENSOR PARA MEDIDA CONTINUA DE DEBITO CARDIACO MINIMA
271;TUBO ENDOTRAQUEAL S/ BALAO 2,5
282;CATETER ACESSO VENOSO CENTRAL DUPLO LUMEN ADULTO 14/18G X 20CM (7FR)
283;CATETER ACESSO VENOSO CENTRAL DUPLO LUMEN PEDIATRICO 22GA X 15CM (4FR)
284;CATETER PARA ACESSO VENOSO CENTRAL ADULTO 14GA X 20CM APROXIMADAMENTE (8 FR) MONO LUMEN
285;CATETER ACESSO VENOSO CENTRAL DUPLO LUMEN 18/20GA X 15CM (5FR)
285;CATETER ACESSO VENOSO CENTRAL DUPLO LUMEN PEDIATRICO 18/20GA X 15CM (5FR)
291;AGULHA DESCARTAVEL 25X07
293;ALGODAO HIDROFILICO 500GR
297;CATETER PARA OXIGENIO DESCARTAVEL N 06
300;SOLUCAO DESINFETANTE DE SUPERFICIE CONTENDO MONOPERSULFATO DE POTASSIO - VIRKON
301;SOLUCAO INDICADO PARA DESINFECCAO DE ARTIGOS MEDICOS E EQUIPAMENTOS ENDOSCOPIA - GLUTARALDEIDO 2% (LITRO)
303;COLETOR DE URINA SISTEMA ABERTO ADULTO
305;CATETER ACESSO VENOSO CENTRAL PERIFERICO 24 G X 19CM - PICC 1.9
306;BROCA PONTA DIAMANTADA PARA ALTA ROTACAO FG 4137
307;MASCARA DESCARTAVEL COM DISPOSITIVO DE AJUSTE NASAL E QUATRO TIRAS LATERAIS
314;BROCA PONTA DIAMANTADA PARA ALTA ROTACAO FG 4123
317;INDICADOR BIOLOGICO DE LEITURA RAPIDA DE TERCEIRA GERACAO- 3
320;INDICADOR QUIMICO TIPO 2 (TESTE BOWIE  DICK)
321;COMPRESSA TIPO CAMPO OPERATORIO 25 X 28 COM FIO RADIOPACO ESTERIL
326;CARVEDILOL 3125MG
328;LUVA CIRURGICA ESTERIL N� 7,0
329;LUVA CIRURGICA ESTERIL N� 7,5
330;LUVA CIRURGICA ESTERIL N� 8,0
333;FITA HIPOALERGENICA MICROPOROSA 5CMX10M
334;ATADURA DE CREPOM 15CM
335;GAZE ACOLCHOADA ESTERIL 10X15CM
337;SONDA PARA ASPIRA��O TRAQUEAL N� 10
338;SONDA PARA ASPIRACAO TRAQUEAL N 12 - BIOSANI (JUDICIAL)
339;ESPARADRAPO IMPERMEAVEL 10CMX4,5M
340;INDICADOR QUIMICO EXTERNO TIPO 1 - FITA TESTE AUTOCLAVE
342;APLICADOR QUICK MMT 305 QS
347;SERINGA DESCARTAVEL S/AGULHA BICO LUER LOCK 60ML
365;CADARCO SARJADO 90% ALGODAO10%POLIESTER
387;FRASCO PARA DIETA ENTERAL 300ML
390;EQUIPO MACROGOTAS PARA DIETA ENTERAL
396;SONDA PARA ASPIRA��O TRAQUEAL N� 08
399;ONDANSETRONA 2 MG/ ML AMPOLA 4 ML - SOLU��O INJET�VEL
404;HEMOSTATICO ESPONJA GELATINOSA ABSORVIVEL EM PO - 1GR
405;HEMOSTATICO DE CELULOSE TELA ABSORVIVEL 25CMX51CM
406;HEMOSTATICO DE CELULOSE TELA ABSORVIVEL 51CMX102CM
407;EQUIPO MACROGOTAS PARA SORO
408;TORNEIRA DE 3 VIAS
410;FILTRO DE VEIA CAVA EM ACO INOXIDAVEL
418;FRALDA DESCARTAVEL PEDIATRICA PEQUENA 3 A 5KG
419;FRALDA DESCARTAVEL PEDIATRICA MEDIA 5 A 10KG
420;FRALDA DESCARTAVEL PEDIATRICA GRANDE 9 A 13KG
424;SONDA FOLEY SILICONE 02 VIAS C/BALAO N� 14
425;SONDA FOLEY SILICONE 02 VIAS C/BAL�O N� 16
426;SONDA FOLEY SILICONE 02 VIAS C/BAL�O N� 18
430;TELA SINTETICA BIO-COMPATIVEL 30CM X 30CM
431;TELA SINTETICA BIO-COMPATIVEL 15CMX15CM
434;SERINGA DESCARTAVEL S/AGULHA BICO LUER SLIP 01ML
435;OXALIPLATINA 50MG - P� LIOFILIZADO - FRASCO AMPOLA
436;DISPOSITIVO PARA OCLUSAO DE CONEXOES CONE LUER (PROTETOR TIPO TAMPA)
437;DISPOSITIVO TRANSFERENCIA DE SOLUCOES PARENTERAIS (DUPLA PONTA)
440;CAPECITABINA 500MG
441;FLUDARABINA (FOSFATO) 50MG P� LIOFILIZADO PARA SOLU��O INJET�VEL
442;EMBALAGEM PARA ACONDICIONAMENTO DE PRODUTOS A SEREM ESTERILIZADOS EM PAPEL GRAU CIRURGICO 250MM X 100M
449;TELA DE POLIPROPILENO PARA HERNIA 55 X125CM -PHSE1
452;IRINOTECANO 100MG
455;GRAMPEADOR CIRURGICO 5MM (LAPAROSCOPICO) 12 A 20 GRAMPOS
456;GRAMPEADOR CIRURGICO 5MM (LAPAROSCOPICO) 25 A 40 GRAMPOS
457;SONDA PARA ASPIRACAO TRAQUEAL N 06
458;GENCITABINA 1000 MG - P� LIOFILIZADO PARA SOLU��O INJET�VEL
460;FITA ADESIVA BRANCA PARA USO HOSPITALAR 25MM X 50M
462;TESOURA COAGULADORA BIPOLAR AVAN�ADA CURVA DE DIAMETRO DE 5MM E A HASTE DE 14 ATE 45CM
463;PILHA PARA BOMBA DE INSULINA SPIRIT COMBO
467;FLUORURACILA 2,5G  (50MG/ML)- FRASCO AMPOLA 50ML
475;IRINOTECANO 40MG
476;GENCITABINA 200MG PO LIOFILIZADO PARA SOLU��O INJET�VEL
477;PROTETOR DE CABELO FEMININO COM ELASTICO (TOUCA)
478;TOPOTECANA (CLORIDRATO), 4MG, PO LIOFILIZADO PARA SOLUCAO INJETAVEL, FRASCO AMPOLA, UNIDADE 1.0
486;PECA DE MAO COMPATIVEL COM O GERADOR DE TESOURA COAGULADORA
499;SONDA PARA ASPIRA��O TRAQUEAL N� 04
500;SONDA PARA ASPIRACAO TRAQUEAL N 14
501;SONDA PARA ASPIRACAO TRAQUEAL N 16
506;SONDA DE FOLEY 2 VIAS N 12 - LATEX
508;SONDA DE FOLEY 2 VIAS N 16 EM LATEX
511;BROCA DE ACO CARBONO BAIXA ROTACAO N9 ESFERICA CARBIDE
522;EQUIPO PARA SORO MICROGOTAS
524;ESFIGNOMANOMETRO ADULTO
537;EXTENSOR DE 2 V - 20CM
543;CIMENTO DE ZINCO LIQUIDO 10 ML
544;LUVA CIRURGICA ESTERIL N� 6,5
546;CIMENTO DE ZINCO PO 28G 1 CLARO
548;LUVA PARA PROCEDIMENTO ESTERIL P (UNIDADE)
549;LUVA PARA PROCEDIMENTO ESTERIL M (UNIDADE)
550;LUVA PARA PROCEDIMENTO ESTERIL G (UNIDADE)
552;OCULOS DE PROTE��O
556;SONDA ESTOMACAL (NASOGASTRICA) LONGA N 14
557;SONDA ESTOMACAL (NASOGASTRICA) LONGA N�16
559;TERMOMETRO DIGITAL
567;SONDA FOLEY LATEX 02 VIAS C/BAL�O N� 22
572;SISTEMA DE TRANSMISSAO MINILINK MMT 7774 RA
574;TAMOXIFENO 20 MG
582;ACIDO ALL-TRANS-RETINOICO 10 MG (TRETINOINA) (PORT. 344/98 - C2)
582;ACIDO ALL-TRANS-RETINOICO 10MG (TRETINOINA)
591;�CIDO FOL�NICO (FOLINATO DE C�LCIO) 15 MG - COMPRIMIDO
592;ACIDO FOLINICO 50 MG
601;ACIDO VALPROICO 500 MG COMP (PORT. 344/98 - C1)
602;ACIDO VALPROICO 250MG 5ML XAROPE  (PORT. 344/98 - C1)
605;�GUA DESTILADA FRASCO 100 ML - SOLU��O INJET�VEL
606;�GUA DESTILADA FRASCO 1000 ML - SOLU��O INJET�VEL
617;ALPRAZOLAM 2MG COMP (PORT. 344/98 - B1)
618;ALPROSTADIL 500 MCG/ ML AMPOLA 1 ML - SOLU��O INJET�VEL
626;AMIODARONA 200 MG COMPRIMIDO
627;AMIODARONA 100MG
628;AMITRIPTILINA 25 MG COMPRIMIDO  (PORT. 344/98 - C1)
637;ANASTROZOL 1MG
644;ANLODIPINO 5MG
647;ATORVASTATINA 10MG
648;ATORVASTATINA 20MG
649;ATORVASTATINA 40MG
652;AZATIOPRINA 50MG
653;AZITROMICINA 500 MG
653;AZITROMICINA 500MG
658;BACLOFENO 10MG
660;BASILIXIMABE 20 MG - P� LIOFILIZADO PARA SOLU��O INJET�VEL
661;BECLOMETASONA 400MCGML FLAC 2ML
671;BICALUTAMIDA 50MG
676;HEMIFUMARATO DE BISOPROLOL 25 MG
677;BLEOMICINA (SULFATO) 15 U
680;BROMAZEPAM 3MG  (PORT. 344/98 - C1)
681;BROMETO DE TIOTROPIO 2,5MCG
691;BUDESONIDA 400 MCG FORMOTEROL 12 MCG- CAPSULA
695;BUPROPIONA CLORIDRATO 150 MG COMP (PORT. 344/98 - C1)
696;CABERGOLINA 05MG
700;CALCITRIOL 025MCG
707;CARBAMAZEPINA 200 MG COMP (PORT. 344/98 - C1)
708;CARBAMAZEPINA 20 MG/ML FRASCO 100 ML SUSP ORAL (PORT. 344/98 - C1)
711;CARBONATO DE LITIO 300 MG COMP  (PORT. 344/98 - C1)
712;CARBOPLATINA 10 MG/ ML FRASCO AMPOLA 15 ML - SOLU��O INJET�VEL
715;CARVEDILOL 6,25 MG
716;CARVEDILOL 25MG
717;CARMELOSE SODICA 05% SOL OFTALMICA (ALLERGAN)
720;SELADORA AUTOMATICA LOOK MODELO SRN01 (AMCOR)
723;CEFTRIAXONA S�DICA 1G IM + DILUENTE DE LIDOCA�NA 3,5 ML
732;CICLOFOSFAMIDA 1G
733;CICLOFOSFAMIDA 200 MG FRASCO AMPOLA 20 ML - P� PARA SOLU��O INJET�VEL
734;CICLOFOSFAMIDA 50 MG - COMPRIMIDO REVESTIDO DE LIBERA��O RETARDADA
738;CICLOSPORINA 100MGML SOLUCAO ORAL
739;CICLOSPORINA 25MG
740;CICLOSPORINA 50MG
745;CIPROFIBRATO 100MG
746;CISPLATINA 50MG
747;CILOSTAZOL 100MG
748;CITALOPRAM 20 MG COMP  (PORT. 344/98 - C1)
749;CITARABINA 100 MG/ ML FRASCO AMPOLA 10 ML - SOLU��O INJET�VEL
750;CITARABINA, 100MG/ML, SOLU��O INJET�VEL FRASCO AMPOLA 5ML
751;CLADRIBINA 1MGML 8ML
752;CLARITROMICINA 500MG
756;CLOBAZAM 10MG COMP  (PORT. 344/98 - B1)(judicial)
757;CLOBAZAM 20 MG COMP (URBANIL) (PORT. 344/98 - B1)
761;CLOMIPRAMINA 25 MG COMP (PORT. 344/98 - C1)
762;CLOMIPRAMINA 75 MG COMP ( (PORT. 344/98 - C1)
763;CLONAZEPAM 0,5 MG COMP (PORT. 344/98 - B1)
764;CLONAZEPAM 2 MG COMP (PORT. 344/98 - B1)
764;CLONAZEPAM 2MG COMP. (PORT. 344/98 - B1)
765;CLONAZEPAM 2,5 MG/ ML FRASCO 20 ML - SOLUCAO ORAL  (PORT. 344/98 - C1)
766;CLOPIDOGREL 75MG
767;CLORAMBUCILA  2MG (COMPRIMIDO REVESTIDO)
775;CLORPROMAZINA 25 MG COMP (PORT. 344/98 - C1)
781;CLOZAPINA 100 MG COMP (LEPONEX) (PORT. 344/98 - C1)
783;CODEINA 30 MG COMP  (PORT. 344/98 - A2)
787;COLAGENASE 06UI CR 30G
792;COMPLEXO PROTROMBINICO HUMANO FATORES IIVIIIXX 500UI FRASCO
799;DAUNORRUBICINA 20MG
800;DASATINIBE 100MG
801;DASATINIBE 20MG
803;DESMOPRESSINA (ACETATO) 0,1MGML SPRAY NASAL 2,5ML
806;DESVENLAFAXINA 50 MG COMP
814;DEXRAZOXANO (CLORIDRATO), 500MG, P� LIOFILIZADO FRASCO-AMPOLA
818;DIAZEPAM 5 MG COMP  (PORT. 344/98 - B1)
828;DIGOXINA 0,25MG
834;DOCETAXEL 20MG
835;DOCETAXEL 80MG
836;DOMPERIDONA 1MGML SUSPENSAO ORAL
837;DOMPERIDONA 10MG
838;DOXAZOSINA 2MG
840;DOXORRUBICINA(CLORIDRATO) 10MG, P� LIOFILIZADO PARA SOLU��O INJET�VEL
841;DORZOLAMIDA CLORIDRATO 20 MG/ML SOLUCAO OFTALMICA
842;DOXORRUBICINA 50MG
848;EPIRRUBICINA, CLORIDRATO, 10 MG - P� LIOFILIZADO PARA SOLU��O INJET�VEL OU SOLU��O INJET�VEL
861;ESPIRONOLACTONA 25MG
864;ETOPOSIDEO 20 MG/ ML FRASCO AMPOLA 5 ML - SOLU��O INJET�VEL
864;ETOPOSIDO 20 MG/ ML FRASCO AMPOLA 5 ML - SOLU��O INJET�VEL
866;ETOSSUXIMIDA 50 MG/ML FRASCO 120 ML (ETOXIN) (PORT. 344/98 - C1)
867;EVEROLIMO 1MG
870;EZETIMIBA 10MG SINVASTATINA 20MG
875;FENITOINA 100 MG COMP  (PORT. 344/98 - C1)
877;FENOBARBITAL 100 MG COMP  (PORT. 344/98 - B1)
878;FENOBARBITAL 40 MG/ML FRASCO 20 ML SOL ORAL  (PORT. 344/98 - B1)
882;FENTANIL 125MCG ADESIVO TRANSDERMICO 21MG
884;FENTANIL 50MCG ADESIVO TRANSDERMICO 21CM2
886;FIBRINOGENIO HUMANO 1 G - PO LIOFILIZADO PARA SOLUCAO INJETAVEL
890;FLUDROCORTISONA 0,1 MG
896;FLUORURACILA 50MG/ML SOLU��O INJET�VEL  FRASCO AMPOLA 10ML
897;FLUOXETINA CLORIDRATO 20 MG CAPS  (PORT. 344/98 - C1)
901;FORMOTEROL 12MCG
904;FUROSEMIDA 40MG
905;GABAPENTINA 300 MG CAPS  (PORT. 344/98 - C1)
906;GABAPENTINA 400MG
910;GEFITINIBE 250MG
915;GLICLAZIDA 30MG LIBERACAO PROLONGADA
918;GLICOSE 25% AMPOLA 10 ML - SOLUCAO INJETAVEL
922;GOSSERRELINA ACETATO 3,6MG SER PREENCHIDA (ZOLADEX)
926;HALOPERIDOL DECANOATO 50MG/ML AMPOLA 1ML  (PORT. 344/98 - C1)
930;HIDRALAZINA 50MG
933;HIDROCLOROTIAZIDA 25MG
936;HIDROXICLOROQUINA 400MG
943;HIDROXIZINA, DICLORIDRATO 25 MG COMPRIMIDO
949;IFOSFAMIDA 1G - P� LIOFILIZADO PARA SOLU��O INJET�VEL
949;IFOSFAMIDA 1MG - P� LIOFILIZADO PARA SOLU��O INJET�VEL
950;IFOSFAMIDA 2 G - P� LIOFILIZADO PARA SOLU��O INJET�VEL
954;IMUNOGLOBULINA HUMANA 5G FRASCO AMPOLA 100ML
956;FENOTEROL 005MG IPRATROPIO 002MG AEROSSOL BOCAL 10ML
963;ISOSSORBIDA (MONONITRATO) 20MG
965;ISOTRETINO�NA 20 MG - C�PSULA
966;ITRACONAZOL 100MG
967;IVABRADINA 5MG
970;LAMOTRIGINA 100 MG COMP  (PORT. 344/98 - C1)
971;LAMOTRIGINA 25 MG COMP (PORT. 344/98 - C1)
972;LAMOTRIGINA 50 MG COMP  (PORT. 344/98 - C1)
973;LEVODOPA + BENZERAZIDA, 100 MG + 25MG, CAPSULA DE LIBERA��O PROLONGADA
984;LEVOTIROXINA 25 MCG
984;LEVOTIROXINA 25MCG
1009;MELFALANO 2 MG - COMPRIMIDO REVESTIDO
1010;MERCAPTOPURINA 50 MG - COMPRIMIDO
1012;MESALAZINA 500MG (COMPRIMIDO DE LIBERACAO PROLONGADA)
1014;MESALAZINA 800MG
1019;MESNA 100MG/ML AMPOLA 4ML
1020;METADONA 10MG  PORTARIA 344/98 - L-A1
1020;METADONA 10MG
1022;METADONA 5MG  PORTARIA 344/98 - L-A1
1022;METADONA 5MG
1024;METFORMINA 500MG
1032;METILFENIDATO CLORIDRATO 10 MG COMP (PORT. 344/98 - A3)
1033;METILFENIDATO CLORIDRATO 20 MG CAPS GELATINOSA DURA COM MICROGRANULOS DE LIBERACAO MODIFICADA (RITALINA LA) (PORT. 344/98 - A3)
1038;METOPROLOL 50MG (SUCCINATO)
1041;METOTREXATO 2,5MG
1042;METOTREXATO 50MG 2ML - SOL INJET�VEL - FRASCO AMPOLA
1044;METRONIDAZOL 100 MG/G BISNAGA 50G - GELEIA VAGINAL (10%)
1048;MICOFENOLATO DE MOFETILA 500MG
1049;MICOFENOLATO DE SODIO 180MG
1050;MICOFENOLATO DE SODIO 360MG
1057;AMOXICILINA 50 MG/ML PO PARA SUSPENSAO 150 ML
1058;MIRTAZAPINA 15MG (PORT. 344/98 - C1)
1058;MIRTAZAPINA 15MG
1059;MIRTAZAPINA 30MG
1060;MITOXANTRONA 20MG
1062;MORFINA 10MG
1064;MORFINA 30MG
1065;MORFINA 30MG (LIBERACAO CONTROLADA)
1072;ACETILCISTEINA 600MG PO
1083;NISTATINA 100.000 UIML CREME VAGINAL
1086;NISTATINA 100.000 UIML OXIDO DE ZINCO 200MG
1087;NISTATINA 100.000 UI/ML FRASCO 50ML
1089;NITROFURANTOINA 100MG
1090;LORATADINA 10 MG COMPRIMIDO
1095;OLANZAPINA 10MG (PORT. 344/98 - C1)
1099;OLEO MINERAL PURO 100ML
1100;OMEPRAZOL 20MG
1101;OMALIZUMABE 150 MG INJETAVEL
